OMIM	OMIM_NAME	DO	DO_NAME	CLASS	CLASS_NAME
OMIM:107480	TOWNES-BROCKS SYNDROME; TBS	DOID:0050887	Townes-Brocks Syndrome	DOID:0050177	Monogenic Disease
OMIM:107600	APLASIA CUTIS CONGENITA, NONSYNDROMIC; ACC	DOID:14693	Clouston Syndrome	DOID:0050177	Monogenic Disease
OMIM:107741	APOLIPOPROTEIN E; APOE	NA	NA	NA	NA
OMIM:107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1	DOID:0050431	Arrhythmogenic Right Ventricular Cardiomyopathy	DOID:1287	Cardiovascular System Disease
OMIM:108010	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN	DOID:6713	Cerebrovascular Disease	DOID:1287	Cardiovascular System Disease
OMIM:108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	DOID:0050646	Distal Arthrogryposis	DOID:17	Musculoskeletal System Disease
OMIM:108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5	DOID:0050646	Distal Arthrogryposis	DOID:17	Musculoskeletal System Disease
OMIM:108300	STICKLER SYNDROME, TYPE I; STL1	DOID:0080046	Stickler Syndrome	DOID:0050177	Monogenic Disease
OMIM:108500	EPISODIC ATAXIA, TYPE 2; EA2	DOID:963	Episodic Ataxia	DOID:863	Nervous System Disease
OMIM:108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1	DOID:2476	Hereditary Spastic Paraplegia	DOID:863	Nervous System Disease
OMIM:108720	ATELOSTEOGENESIS, TYPE I; AO1	DOID:0050648	Atelosteogenesis	DOID:17	Musculoskeletal System Disease
OMIM:108721	ATELOSTEOGENESIS, TYPE III; AO3	DOID:0050648	Atelosteogenesis	DOID:17	Musculoskeletal System Disease
OMIM:108770	ATRIAL STANDSTILL 1; ATRST1	DOID:0050700	Cardiomyopathy	DOID:1287	Cardiovascular System Disease
OMIM:108900	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7	DOID:1882	Atrial Heart Septal Defect	DOID:1287	Cardiovascular System Disease
OMIM:108985	SVEINSSON CHORIORETINAL ATROPHY; SCRA	DOID:12318	Corneal Granular Dystrophy	DOID:863	Nervous System Disease
OMIM:109150	MACHADO-JOSEPH DISEASE; MJD	DOID:1440	Machado-Joseph Disease	DOID:863	Nervous System Disease
OMIM:109400	BASAL CELL NEVUS SYNDROME; BCNS	DOID:2512	Nevoid Basal Cell Carcinoma Syndrome	DOID:0050177	Monogenic Disease
OMIM:109730	AORTIC VALVE DISEASE 1; AOVD1	DOID:1712	Aortic Valve Stenosis	DOID:1287	Cardiovascular System Disease
OMIM:109800	BLADDER CANCER	DOID:11054	Urinary Bladder Cancer	DOID:162	Cancer
OMIM:110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES	DOID:14778	Blepharophimosis, Ptosis, and Epicanthus Inversus Syndrome	DOID:0050177	Monogenic Disease
OMIM:110700	BLOOD GROUP, DUFFY SYSTEM; FY	NA	NA	NA	NA
OMIM:110800	BLOOD GROUP, I SYSTEM; Ii	NA	NA	NA	NA
OMIM:111150	BLOOD GROUP--LUTHERAN INHIBITOR; INLU	NA	NA	NA	NA
OMIM:111400	BLOOD GROUP, P1PK SYSTEM	NA	NA	NA	NA
OMIM:111620	RADIN BLOOD GROUP ANTIGEN; RD	NA	NA	NA	NA
OMIM:112240	COLE-CARPENTER SYNDROME 1; CLCRP1	DOID:2340	Craniosynostosis	DOID:17	Musculoskeletal System Disease
OMIM:112250	DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA; DMSMFH	DOID:4415	Fibrous Histiocytoma	DOID:162	Cancer
OMIM:112310	BOOMERANG DYSPLASIA	DOID:0050680	Boomerang Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:112410	HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB	NA	NA	NA	NA
OMIM:112500	BRACHYDACTYLY, TYPE A1; BDA1	DOID:0050581	Brachydactyly	DOID:17	Musculoskeletal System Disease
OMIM:112600	BRACHYDACTYLY, TYPE A2; BDA2	DOID:0050581	Brachydactyly	DOID:17	Musculoskeletal System Disease
OMIM:113000	BRACHYDACTYLY, TYPE B1; BDB1	DOID:0050581	Brachydactyly	DOID:17	Musculoskeletal System Disease
OMIM:113100	BRACHYDACTYLY, TYPE C; BDC	DOID:0050581	Brachydactyly	DOID:17	Musculoskeletal System Disease
OMIM:113200	BRACHYDACTYLY, TYPE D; BDD	DOID:0050581	Brachydactyly	DOID:17	Musculoskeletal System Disease
OMIM:113300	BRACHYDACTYLY, TYPE E1; BDE1	DOID:0050581	Brachydactyly	DOID:17	Musculoskeletal System Disease
OMIM:113500	BRACHYOLMIA TYPE 3; BCYM3	DOID:0050690	Brachyolmia	DOID:17	Musculoskeletal System Disease
OMIM:113620	BRANCHIOOCULOFACIAL SYNDROME; BOFS	DOID:0050691	Branchiooculofacial Syndrome	DOID:0050177	Monogenic Disease
OMIM:113650	BRANCHIOOTORENAL SYNDROME 1; BOR1	DOID:14702	Branchiootorenal Syndrome	DOID:0050177	Monogenic Disease
OMIM:113750	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 4; SHEP4	DOID:3156	Incontinentia Pigmenti Achromians	DOID:16	Integumentary System Disease
OMIM:113800	EPIDERMOLYTIC HYPERKERATOSIS; EHK	DOID:4603	Epidermolytic Hyperkeratosis	DOID:16	Integumentary System Disease
OMIM:113900	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A	DOID:114	Heart Disease	DOID:1287	Cardiovascular System Disease
OMIM:113970	BURKITT LYMPHOMA; BL	DOID:8584	Burkitt Lymphoma	DOID:162	Cancer
OMIM:114000	CAFFEY DISEASE	DOID:4257	Caffey Disease	DOID:17	Musculoskeletal System Disease
OMIM:114290	CAMPOMELIC DYSPLASIA	DOID:0050463	Campomelic Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:114300	ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3	DOID:0050646	Distal Arthrogryposis	DOID:17	Musculoskeletal System Disease
OMIM:114480	BREAST CANCER	DOID:1612	Breast Cancer	DOID:162	Cancer
OMIM:114500	COLORECTAL CANCER; CRC	DOID:1520	Colon Carcinoma	DOID:162	Cancer
OMIM:114550	HEPATOCELLULAR CARCINOMA	DOID:684	Hepatocellular Carcinoma	DOID:162	Cancer
OMIM:114900	CARCINOID TUMORS, INTESTINAL	DOID:10155	Intestinal Cancer	DOID:162	Cancer
OMIM:115000	CARDIAC ARRHYTHMIA	NA	NA	NA	NA
OMIM:115080	CARDIAC CONDUCTION DEFECT	DOID:0060319	Cardiac Arrest	DOID:1287	Cardiovascular System Disease
OMIM:115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1	DOID:0060233	Cardiofaciocutaneous Syndrome	NA	NA
OMIM:115195	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2; CMH2	DOID:11984	Hypertrophic Cardiomyopathy	DOID:1287	Cardiovascular System Disease
OMIM:115196	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 3; CMH3	DOID:11984	Hypertrophic Cardiomyopathy	DOID:1287	Cardiovascular System Disease
OMIM:115197	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4	DOID:11984	Hypertrophic Cardiomyopathy	DOID:1287	Cardiovascular System Disease
OMIM:115200	CARDIOMYOPATHY, DILATED, 1A; CMD1A	DOID:12930	Dilated Cardiomyopathy	DOID:1287	Cardiovascular System Disease
OMIM:115210	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1; RCM1	DOID:397	Restrictive Cardiomyopathy	DOID:1287	Cardiovascular System Disease
OMIM:115300	HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL DOMINANT	DOID:5113	Nutritional Deficiency Disease	DOID:0060158	Acquired Metabolic Disease
OMIM:115310	PARAGANGLIOMAS 4; PGL4	DOID:0050773	Paraganglioma	DOID:162	Cancer
OMIM:115430	CARPAL TUNNEL SYNDROME; CTS1	DOID:12169	Carpal Tunnel Syndrome	DOID:863	Nervous System Disease
OMIM:115700	CATARACT 4, MULTIPLE TYPES; CTRCT4	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:115900	CATARACT 42; CTRCT42	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:116100	CATARACT 20, MULTIPLE TYPES; CTRCT20	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:116200	CATARACT 1, MULTIPLE TYPES; CTRCT1	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:116300	CATARACT 30; CTRCT30	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:116400	CATARACT 41; CTRCT41	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:116600	CATARACT 6, MULTIPLE TYPES; CTRCT6	DOID:0050537	Posterior Polar Cataract	DOID:863	Nervous System Disease
OMIM:116700	CATARACT 13 WITH ADULT i PHENOTYPE; CTRCT13	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:116800	CATARACT 5, MULTIPLE TYPES; CTRCT5	DOID:83	Cataract	DOID:863	Nervous System Disease
OMIM:116860	CEREBRAL CAVERNOUS MALFORMATIONS; CCM	NA	NA	NA	NA
OMIM:116920	LEUKOCYTE ADHESION DEFICIENCY, TYPE I; LAD	DOID:6612	Leukocyte Adhesion Deficiency	DOID:0050177	Monogenic Disease
OMIM:117000	CENTRAL CORE DISEASE OF MUSCLE; CCD	DOID:3529	Central Core Myopathy	DOID:17	Musculoskeletal System Disease
OMIM:117210	SPINOCEREBELLAR ATAXIA 31; SCA31	DOID:1441	Autosomal Dominant Cerebellar Ataxia	DOID:863	Nervous System Disease
OMIM:117300	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 2	DOID:9246	Cerebral Amyloid Angiopathy	DOID:0060158	Acquired Metabolic Disease
OMIM:117360	SPINOCEREBELLAR ATAXIA 29; SCA29	DOID:9277	Primary Cerebellar Degeneration	DOID:863	Nervous System Disease
OMIM:117550	SOTOS SYNDROME 1; SOTOS1	DOID:14748	Sotos Syndrome	DOID:0050177	Monogenic Disease
OMIM:117650	CEREBROCOSTOMANDIBULAR SYNDROME; CCMS	DOID:1059	Intellectual Disability	DOID:0060037	Developmental Disorder of Mental Health
OMIM:117800	APOCRINE GLAND SECRETION, VARIATION IN	NA	NA	NA	NA
OMIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT; KFS1	DOID:10426	Klippel-Feil Syndrome	NA	NA
OMIM:118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B	DOID:0050538	Charcot-Marie-Tooth Disease Type 1	DOID:863	Nervous System Disease
OMIM:118210	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1; CMT2A1	DOID:0050539	Charcot-Marie-Tooth Disease Type 2	DOID:863	Nervous System Disease
OMIM:118220	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A; CMT1A	DOID:0050538	Charcot-Marie-Tooth Disease Type 1	DOID:863	Nervous System Disease
OMIM:118300	CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS	DOID:0050538	Charcot-Marie-Tooth Disease Type 1	DOID:863	Nervous System Disease
OMIM:118400	CHERUBISM	DOID:1856	Cherubism	DOID:0050177	Monogenic Disease
OMIM:118450	ALAGILLE SYNDROME 1; ALGS1	DOID:9245	Alagille Syndrome	DOID:77	Gastrointestinal System Disease
OMIM:118600	CHONDROCALCINOSIS 2; CCAL2	DOID:1156	Chondrocalcinosis	DOID:17	Musculoskeletal System Disease
OMIM:118700	CHOREA, BENIGN HEREDITARY; BHC	DOID:12859	Choreatic Disease	DOID:863	Nervous System Disease
OMIM:118800	PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1	DOID:480	Movement Disease	DOID:863	Nervous System Disease
OMIM:119300	VAN DER WOUDE SYNDROME 1; VWS1	DOID:0060239	Van Der Woude Syndrome	NA	NA
OMIM:119500	POPLITEAL PTERYGIUM SYNDROME; PPS	DOID:0060055	Popliteal Pterygium Syndrome	DOID:0050177	Monogenic Disease
OMIM:119600	CLEIDOCRANIAL DYSPLASIA; CCD	DOID:13994	Cleidocranial Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:119800	CLUBFOOT, CONGENITAL, WITH OR WITHOUT DEFICIENCY OF LONG BONES AND/OR MIRROR-IMAGE POLYDACTYLY; CCF	DOID:11836	Clubfoot	DOID:17	Musculoskeletal System Disease
OMIM:119900	DIGITAL CLUBBING, ISOLATED CONGENITAL	DOID:14283	Primary Hypertrophic Osteoarthropathy	NA	NA
OMIM:120100	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 1; FCAS1	DOID:37	Skin Disease	DOID:16	Integumentary System Disease
OMIM:120200	COLOBOMA, OCULAR, AUTOSOMAL DOMINANT	DOID:12270	Coloboma	DOID:863	Nervous System Disease
OMIM:120330	PAPILLORENAL SYNDROME; PAPRS	DOID:12270	Coloboma	DOID:863	Nervous System Disease
OMIM:120430	COLOBOMA OF OPTIC NERVE	DOID:11975	Coloboma of Optic Nerve	DOID:863	Nervous System Disease
OMIM:120433	COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION; COB1	NA	NA	NA	NA
OMIM:120435	LYNCH SYNDROME I	DOID:3883	Lynch Syndrome	DOID:0050177	Monogenic Disease
OMIM:120790	COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF	DOID:612	Primary Immunodeficiency Disease	DOID:2914	Immune System Disease
OMIM:120970	CONE-ROD DYSTROPHY 2; CORD2	DOID:0050572	Cone-Rod Dystrophy	DOID:863	Nervous System Disease
OMIM:121050	ARTHROGRYPOSIS, DISTAL, TYPE 9; DA9	DOID:0050646	Distal Arthrogryposis	DOID:17	Musculoskeletal System Disease
OMIM:121200	SEIZURES, BENIGN FAMILIAL NEONATAL, 1; BFNS1	DOID:14264	Benign Neonatal Seizures	DOID:863	Nervous System Disease
OMIM:121201	SEIZURES, BENIGN FAMILIAL NEONATAL, 2; BFNS2	DOID:14264	Benign Neonatal Seizures	DOID:863	Nervous System Disease
OMIM:121300	COPROPORPHYRIA, HEREDITARY; HCP	DOID:13269	Hereditary Coproporphyria	DOID:655	Inherited Metabolic Disorder
OMIM:121800	SCHNYDER CORNEAL DYSTROPHY; SCCD	DOID:12318	Corneal Granular Dystrophy	DOID:863	Nervous System Disease
OMIM:121820	CORNEAL DYSTROPHY, EPITHELIAL BASEMENT MEMBRANE; EBMD	DOID:0060216	Cogan Syndrome	DOID:863	Nervous System Disease
OMIM:121850	CORNEAL DYSTROPHY, FLECK	DOID:12318	Corneal Granular Dystrophy	DOID:863	Nervous System Disease
OMIM:121900	CORNEAL DYSTROPHY, GROENOUW TYPE I; CDGG1	DOID:12318	Corneal Granular Dystrophy	DOID:863	Nervous System Disease
OMIM:122000	CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 1; PPCD1	DOID:12318	Corneal Granular Dystrophy	DOID:863	Nervous System Disease
OMIM:122100	CORNEAL DYSTROPHY, MEESMANN; MECD	DOID:12318	Corneal Granular Dystrophy	DOID:863	Nervous System Disease
OMIM:122200	CORNEAL DYSTROPHY, LATTICE TYPE I; LCD1	DOID:12318	Corneal Granular Dystrophy	DOID:863	Nervous System Disease
OMIM:122400	EPITHELIAL RECURRENT EROSION DYSTROPHY; ERED	NA	NA	NA	NA
OMIM:122470	CORNELIA DE LANGE SYNDROME 1; CDLS1	DOID:11725	Cornelia De Lange Syndrome	NA	NA
OMIM:122600	SPONDYLOCOSTAL DYSOSTOSIS 5; SCDO5	DOID:0050568	Spondylocostal Dysostosis	DOID:17	Musculoskeletal System Disease
OMIM:122700	COUMARIN RESISTANCE	DOID:655	Inherited Metabolic Disorder	NA	NA
OMIM:122860	CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CDD	DOID:0080033	Craniometaphyseal Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:122880	CRANIOFACIAL-DEAFNESS-HAND SYNDROME; CDHS	DOID:10003	Sensorineural Hearing Loss	DOID:863	Nervous System Disease
OMIM:123000	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CMDD	DOID:0080033	Craniometaphyseal Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:123100	CRANIOSYNOSTOSIS 1; CRS1	DOID:2340	Craniosynostosis	DOID:17	Musculoskeletal System Disease
OMIM:123150	JACKSON-WEISS SYNDROME; JWS	DOID:2340	Craniosynostosis	DOID:17	Musculoskeletal System Disease
OMIM:123320	CREATINE PHOSPHOKINASE, ELEVATED SERUM	NA	NA	NA	NA
OMIM:123400	CREUTZFELDT-JAKOB DISEASE; CJD	DOID:11949	Creutzfeldt-Jakob Disease	DOID:863	Nervous System Disease
OMIM:123500	CROUZON SYNDROME	DOID:2339	Crouzon Syndrome	DOID:17	Musculoskeletal System Disease
OMIM:123700	CUTIS LAXA, AUTOSOMAL DOMINANT 1; ADCL1	DOID:3144	Cutis Laxa	DOID:16	Integumentary System Disease
OMIM:123790	BEARE-STEVENSON CUTIS GYRATA SYNDROME; BSTVS	DOID:0050660	Beare-Stevenson Cutis Gyrata Syndrome	DOID:0050177	Monogenic Disease
OMIM:124000	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 1; MC3DN1	NA	NA	NA	NA
OMIM:124200	DARIER-WHITE DISEASE; DAR	DOID:2734	Keratosis Follicularis	DOID:16	Integumentary System Disease
OMIM:124480	DEAFNESS, CONGENITAL, WITH ONYCHODYSTROPHY, AUTOSOMAL DOMINANT; DDOD	NA	NA	NA	NA
OMIM:124500	VOHWINKEL SYNDROME; VOWNKL	DOID:10003	Sensorineural Hearing Loss	DOID:863	Nervous System Disease
OMIM:124900	DEAFNESS, AUTOSOMAL DOMINANT 1; DFNA1	DOID:0050564	Autosomal Dominant Nonsyndromic Deafness	DOID:863	Nervous System Disease
OMIM:125250	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY	NA	NA	NA	NA
OMIM:125310	CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1	DOID:13945	Cadasil	DOID:863	Nervous System Disease
OMIM:125350	FAILURE OF TOOTH ERUPTION, PRIMARY; PFE	DOID:1091	Tooth Disease	DOID:77	Gastrointestinal System Disease
OMIM:125370	DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY; DRPLA	DOID:0060162	Dentatorubral-Pallidoluysian Atrophy	DOID:863	Nervous System Disease
OMIM:125400	DENTIN DYSPLASIA, TYPE I; DTDP1	DOID:701	Dentin Dysplasia	DOID:77	Gastrointestinal System Disease
OMIM:125420	DENTIN DYSPLASIA, TYPE II; DTDP2	DOID:701	Dentin Dysplasia	DOID:77	Gastrointestinal System Disease
OMIM:125490	DENTINOGENESIS IMPERFECTA 1; DGI1	DOID:4154	Dentinogenesis Imperfecta	DOID:77	Gastrointestinal System Disease
OMIM:125500	DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III	DOID:4154	Dentinogenesis Imperfecta	DOID:77	Gastrointestinal System Disease
OMIM:125595	DERMATOPATHIA PIGMENTOSA RETICULARIS; DPR	DOID:987	Alopecia	DOID:16	Integumentary System Disease
OMIM:125630	VIBRATORY URTICARIA; VBU	NA	NA	NA	NA
OMIM:125700	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL	DOID:12388	Neurohypophyseal Diabetes Insipidus	DOID:28	Endocrine System Disease
OMIM:125800	DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL	DOID:12387	Nephrogenic Diabetes Insipidus	DOID:18	Urinary System Disease
OMIM:125850	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 1; MODY1	DOID:0050524	Maturity-Onset Diabetes of the Young	NA	NA
OMIM:125851	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2; MODY2	DOID:0050524	Maturity-Onset Diabetes of the Young	NA	NA
